year,advice_catch_stock,advice_landings_stock,advice_catch_7e,advice_landings_7e,TAC_7de,TAC_7d,TAC_7e,official_landings,ICES_landings_7e,ICES_landings_stock,ICES_discards_7e,ICES_discards_stock,ICES_catch_7e,ICES_catch_stock
1980,,,,,,,,,1079,1177.618026,,,1079,1177.618026
1981,,,,,,,,,1501,1676.379064,,,1501,1676.379064
1982,,,,,,,,,1688,1878.480118,,,1688,1878.480118
1983,,,,,,,,,1495,1714.144055,,,1495,1714.144055
1984,,,,,,,,,1547,1757.567119,,,1547,1757.567119
1985,,,,,,,,,1441,1676.75396,,,1441,1676.75396
1986,,,,,,,,,1810,2077.875215,,,1810,2077.875215
1987,,6800,,,8300,,,1920,1958,2271.848274,,,1958,2271.848274
1988,,6900,,,9960,,,2330,2458,2835.406181,,,2458,2835.406181
1989,,11700,,,11700,,,2250,2358,2742.282176,,,2358,2742.282176
1990,,10700,,,10700,,,1980,2593,2984.794091,,,2593,2984.794091
1991,,8800,,,10700,,,1640,1848,2182.936375,,,1848,2182.936375
1992,,2000,,,9600,,,1570,1624,1881.893243,,,1624,1881.893243
1993,,,,,8500,,,1440,1417,1613.572365,,,1417,1613.572365
1994,,,,,9100,,,1290,1156,1403.944472,,,1156,1403.944472
1995,,1400,,,8000,,,1160,1031,1246.645962,,,1031,1246.645962
1996,,600,,,7530,,,1140,1044,1266.265307,,,1044,1266.265307
1997,,510,,,7090,,,1370,1323,1583.047091,,,1323,1583.047091
1998,,500,,,5700,,,1240,1131.378,1346.109961,,,1131.378,1346.109961
1999,,1100,,,7400,,,1150,1299.203,1543.333231,,,1299.203,1543.333231
2000,,1080,,,6500,,,1290,1280.63,1625.284052,,,1280.63,1625.284052
2001,,930,,,6000,,,1110,1105.576,1310.039764,,,1105.576,1310.039764
2002,,890,,,6690,,,1250,1257.017,1568.077245,70.35047624,70.35047624,1327.367476,1634.405484
2003,,530,,,5970,,,1240,1276.777,1410.818463,62.96801574,62.96801574,1339.745016,1468.753054
2004,,660,,,6060,,,1140,1211.68,1332.414258,81.46834578,81.46834578,1293.148346,1408.016929
2005,,580,,,5151,,,1130,1202.669,1300.340328,114.602632,114.602632,1317.271632,1409.443717
2006,,,,,5151,,,1239,1313.331,1473.619081,106.4862973,145.1368029,1419.817297,1618.755884
2007,,,,,5050,,,966,1003.071,1166.773185,107.749598,149.6582626,1110.820598,1316.431447
2008,,,,,5050,,,893,976.461,1043.423259,142.0510275,151.6412891,1118.512027,1195.064548
2009,,,,,4646,,,977,923.371,1060.508297,73.78990713,123.5622418,997.1609071,1183.858672
2010,,,,,4274,,,1123,1091.74,1243.343957,186.3586728,267.9077816,1278.098673,1511.251739
2011,,,,,4665,,,1354,1334.166,1502.800537,227.7404923,357.6673467,1561.906492,1860.467884
2012,,1440,,,5062,,,1364,1366.253,1519.386149,380.022,494.8072716,1746.275,2013.730639
2013,,,,2100,6400,,,1360,1351.058,1524.923359,290.794,413.9043981,1641.853,1935.510857
2014,,,,1397,5322,,,1340,1340.898,1609.495216,1005.571,1218.520431,2346.47,2828.016647
2015,1885,1546,,1318,6223,,,1249,1246.34,1433.118176,1171.558,1366.510704,2417.899,2798.047743
2016,2262,1697,1944,1458,12446,,,1780,1777.31,2024.523625,499.731,700.4649533,2277.042,2724.917292
2017,2714,1391,2454,1258,10022,,,1911,1914.745,2131.097774,592.876,858.2219569,2507.622,2980.63821
2018,3257,2239,2946,2025,10360,,,1644,1643.713,1891.824571,499.443,748.7631312,2143.156,2640.366776
2019,3648,2517,3283,2265,10354,,,1523,1520.434,1735.645704,169.213,421.1726596,1689.647,2156.818363
2020,2721,1909,2456,1722,9154,,,1276,1275.448,1382.391707,447.47,523.2395039,1722.918,1883.573379
2021,2177,1560,1961,1405,11920,,,1327,1337.525,1412.723193,1484.407,1676.797352,2821.932,3088.276578
2022,1742,1250,1572,1128,9138,,,1104,1114.023,1203.045914,864.222,1191.417342,1978.246,2394.464256
2023,1219,894,1104,809,6775,,,1103,1141.66,1194.417167,274.143,466.0677537,1415.804,1628.871974
2024,1219,894,1104,809,3930,2826,1104,,,,,,,
